Column1,ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,D_DT_TRANS,Transformation Code,Accounting Method,DT_TRANS,Year,Predecessor_Name,Successor_Name,Notes
27778,758646,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMEN'S BANK OF FRANKLIN COUNTY ,Bank of America,"BOATMEN'S BANK OF FRANKLIN COUNTY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27779,791559,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,"NATIONSBANK, NATIONAL ASSOCIATION (MID-WEST)",Bank of America,"NATIONSBANK, NATIONAL ASSOCIATION (MID-WEST) transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27780,823441,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMEN'S NATIONAL BANK OF BOONVILLE,Bank of America,"BOATMEN'S NATIONAL BANK OF BOONVILLE transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27781,918758,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMENS BANK OF KENNETT,Bank of America,"BOATMENS BANK OF KENNETT transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27782,943750,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMEN'S BANK OF SOUTHWEST MISSOURI,Bank of America,"BOATMEN'S BANK OF SOUTHWEST MISSOURI transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27792,306551,480228,6/12/1997 0:00,Charter Discontinued,Merger,19970612,1997,BOATMEN'S BANK OF VANDALIA,Bank of America,"BOATMEN'S BANK OF VANDALIA transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27861,372930,480228,6/2/1997 0:00,Charter Discontinued,Merger,19970602,1997,"NATIONSBANK, NATIONAL ASSOCIATION (SOUTH)",Bank of America,"NATIONSBANK, NATIONAL ASSOCIATION (SOUTH) transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
29753,1356674,480228,4/16/1996 0:00,Charter Discontinued,Merger,19960416,1996,"NATIONSBANK TRUST COMPANY, N.A.                                                                                         ",Bank of America,"NATIONSBANK TRUST COMPANY, N.A. transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
30866,767723,480228,9/30/1995 0:00,Charter Discontinued,Merger,19950930,1995,"NATIONSBANK, N.A.",Bank of America,"NATIONSBANK, N.A. transferred its assets to one or more institutions including NATIONSBANK, NATIONAL ASSOCIATION (CAROLINAS). "
31877,810124,480228,1/3/1995 0:00,Charter Discontinued,Not Applicable,19950103,1995,"NATIONSBANK OF SOUTH CAROLINA, N.A",Bank of America,"NATIONSBANK OF SOUTH CAROLINA, N.A. transferred its assets to one or more institutions including NATIONSBANK OF NORTH CAROLINA, NATIONAL ASSOCIATION. "
34271,394174,480228,10/9/1993 0:00,Failure,Not Applicable,19931009,1993,FIRST AMERICAN FEDERAL SAVINGS BANK                                                                                     ,Bank of America,FIRST AMERICAN FEDERAL SAVINGS BANK failed and ceased to exist. Disposition was arranged by the regulatory agency. Assets were distributed to other entities.
40255,603728,480228,5/18/1990 0:00,Charter Discontinued,Not Applicable,19900518,1990,CAROLINA MOUNTAIN BANK,Bank of America,CAROLINA MOUNTAIN BANK transferred its assets to one or more institutions including NCNB NATIONAL BANK OF NORTH CAROLINA. 
41382,280576,480228,9/16/1989 0:00,Failure,Not Applicable,19890916,1989,"GREAT ATLANTIC SAVINGS BANK, FEDERAL SAVINGS BANK                                                                       ",Bank of America,"GREAT ATLANTIC SAVINGS BANK, FEDERAL SAVINGS BANK failed and ceased to exist. Disposition was arranged by the regulatory agency. Assets were distributed to other entities."
51659,544120,480228,12/23/1982 0:00,Charter Discontinued,Not Applicable,19821223,1982,"BANK OF NORTH CAROLINA, NATIONAL ASSOCIATION ",Bank of America,"BANK OF NORTH CAROLINA, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. "
53169,618629,480228,12/31/1981 0:00,Charter Discontinued,Not Applicable,19811231,1981,CAROLINA FIRST NATIONAL BANK,Bank of America,CAROLINA FIRST NATIONAL BANK transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. 
54604,409724,480228,12/3/1979 0:00,Charter Discontinued,Not Applicable,19791203,1979,BANK OF ASHEVILLE,Bank of America,BANK OF ASHEVILLE transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. 
55624,899222,480228,5/18/1974 0:00,Charter Discontinued,Not Applicable,19740518,1974,FIRST NATIONAL BANK OF MOUNTAIRY,Bank of America,"FIRST NATIONAL BANK OF MOUNTAIRY, THE transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. "
55883,322029,480228,3/10/1973 0:00,Charter Discontinued,Not Applicable,19730310,1973,CITIZENS BANK AND TRUST COMPANY,Bank of America,CITIZENS BANK AND TRUST COMPANY transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. 
55920,748629,480228,12/16/1972 0:00,Charter Discontinued,Not Applicable,19721216,1972,BANK OF NEW BERN,Bank of America,BANK OF NEW BERN transferred its assets to one or more institutions including NORTH CAROLINA NATIONAL BANK. 
