Column1,ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,D_DT_TRANS,Transformation Code,Accounting Method,DT_TRANS,Year,Predecessor_Name,Successor_Name,Notes
18449,68569,451965,11/21/2003 0:00,Charter Discontinued,Merger,20031121,2003,"WELLS FARGO BANK ALASKA, NATIONAL ASSOCIATION",Wells Fargo,"WELLS FARGO BANK ALASKA, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
18450,627555,451965,11/21/2003 0:00,Charter Discontinued,Merger,20031121,2003,"WELLS FARGO BANK MONTANA, NATIONAL ASSOCIATION",Wells Fargo,"WELLS FARGO BANK MONTANA, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
18451,723354,451965,11/21/2003 0:00,Charter Discontinued,Merger,20031121,2003,"WELLS FARGO BANK NEBRASKA, NATIONAL ASSOCIATION",Wells Fargo,"WELLS FARGO BANK NEBRASKA, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
18452,728854,451965,11/21/2003 0:00,Charter Discontinued,Merger,20031121,2003,"WELLS FARGO BANK WEST, NATIONAL ASSOCIATION",Wells Fargo,"WELLS FARGO BANK WEST, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
18453,765756,451965,11/21/2003 0:00,Charter Discontinued,Merger,20031121,2003,"WELLS FARGO BANK TEXAS, NATIONAL ASSOCIATION",Wells Fargo,"WELLS FARGO BANK TEXAS, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
22133,163969,451965,12/16/2000 0:00,Charter Discontinued,Merger,20001216,2000,"FIRST SECURITY BANK OF CALIFORNIA, NATIONAL ASSOCIATION",Wells Fargo,"FIRST SECURITY BANK OF CALIFORNIA, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
22594,517768,451965,8/25/2000 0:00,Charter Discontinued,Merger,20000825,2000,NAPA NATIONAL BANK,Wells Fargo,"NAPA NATIONAL BANK transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
22608,172961,451965,8/18/2000 0:00,Charter Discontinued,Merger,20000818,2000,NORTH COUNTY BANK,Wells Fargo,"NORTH COUNTY BANK transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
22732,732851,451965,7/8/2000 0:00,Charter Discontinued,Merger,20000708,2000,"NORWEST BANK RED WING, NATIONAL ASSOCIATION",Wells Fargo,"NORWEST BANK RED WING, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
23295,2309574,451965,2/18/2000 0:00,Charter Discontinued,Merger,20000218,2000,"WELLS FARGO BANK (ARIZONA), NATIONAL ASSOCIATION",Wells Fargo,"WELLS FARGO BANK (ARIZONA), NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
